rq,repository,metric_column,value,lower_bound,upper_bound,reason
RQ02,etcd-io/etcd,merged_pull_requests,10614.0,-4644.875,8208.125,above_upper_bound
RQ02,expo/expo,merged_pull_requests,23771.0,-4644.875,8208.125,above_upper_bound
RQ02,DefinitelyTyped/DefinitelyTyped,merged_pull_requests,53477.0,-4644.875,8208.125,above_upper_bound
RQ02,ethereum/go-ethereum,merged_pull_requests,9274.0,-4644.875,8208.125,above_upper_bound
RQ02,cypress-io/cypress,merged_pull_requests,8843.0,-4644.875,8208.125,above_upper_bound
RQ02,mastodon/mastodon,merged_pull_requests,20614.0,-4644.875,8208.125,above_upper_bound
RQ02,pandas-dev/pandas,merged_pull_requests,29387.0,-4644.875,8208.125,above_upper_bound
RQ02,hashicorp/terraform,merged_pull_requests,13634.0,-4644.875,8208.125,above_upper_bound
RQ02,ClickHouse/ClickHouse,merged_pull_requests,68863.0,-4644.875,8208.125,above_upper_bound
RQ02,astral-sh/ruff,merged_pull_requests,15962.0,-4644.875,8208.125,above_upper_bound
RQ02,Homebrew/brew,merged_pull_requests,15209.0,-4644.875,8208.125,above_upper_bound
RQ02,JuliaLang/julia,merged_pull_requests,27753.0,-4644.875,8208.125,above_upper_bound
RQ02,metabase/metabase,merged_pull_requests,45892.0,-4644.875,8208.125,above_upper_bound
RQ02,discourse/discourse,merged_pull_requests,37142.0,-4644.875,8208.125,above_upper_bound
RQ02,bevyengine/bevy,merged_pull_requests,8598.0,-4644.875,8208.125,above_upper_bound
RQ02,calcom/cal.diy,merged_pull_requests,13099.0,-4644.875,8208.125,above_upper_bound
RQ02,apache/airflow,merged_pull_requests,39596.0,-4644.875,8208.125,above_upper_bound
RQ02,RocketChat/Rocket.Chat,merged_pull_requests,16861.0,-4644.875,8208.125,above_upper_bound
RQ02,DIYgod/RSSHub,merged_pull_requests,13155.0,-4644.875,8208.125,above_upper_bound
RQ02,milvus-io/milvus,merged_pull_requests,26886.0,-4644.875,8208.125,above_upper_bound
RQ02,streamlit/streamlit,merged_pull_requests,8306.0,-4644.875,8208.125,above_upper_bound
RQ02,grpc/grpc,merged_pull_requests,20855.0,-4644.875,8208.125,above_upper_bound
RQ02,getsentry/sentry,merged_pull_requests,91100.0,-4644.875,8208.125,above_upper_bound
RQ02,ccxt/ccxt,merged_pull_requests,15550.0,-4644.875,8208.125,above_upper_bound
RQ02,ray-project/ray,merged_pull_requests,32131.0,-4644.875,8208.125,above_upper_bound
RQ02,ziglang/zig,merged_pull_requests,9540.0,-4644.875,8208.125,above_upper_bound
RQ02,appsmithorg/appsmith,merged_pull_requests,14321.0,-4644.875,8208.125,above_upper_bound
RQ02,pingcap/tidb,merged_pull_requests,36044.0,-4644.875,8208.125,above_upper_bound
RQ02,nushell/nushell,merged_pull_requests,9110.0,-4644.875,8208.125,above_upper_bound
RQ02,duckdb/duckdb,merged_pull_requests,11597.0,-4644.875,8208.125,above_upper_bound
RQ02,llvm/llvm-project,merged_pull_requests,96606.0,-4644.875,8208.125,above_upper_bound
RQ02,ToolJet/ToolJet,merged_pull_requests,9051.0,-4644.875,8208.125,above_upper_bound
RQ02,novuhq/novu,merged_pull_requests,8413.0,-4644.875,8208.125,above_upper_bound
RQ02,pola-rs/polars,merged_pull_requests,13649.0,-4644.875,8208.125,above_upper_bound
RQ02,mattermost/mattermost,merged_pull_requests,22278.0,-4644.875,8208.125,above_upper_bound
RQ02,rapid7/metasploit-framework,merged_pull_requests,12049.0,-4644.875,8208.125,above_upper_bound
RQ02,dotnet/aspnetcore,merged_pull_requests,19799.0,-4644.875,8208.125,above_upper_bound
RQ02,istio/istio,merged_pull_requests,30555.0,-4644.875,8208.125,above_upper_bound
RQ02,frappe/erpnext,merged_pull_requests,32085.0,-4644.875,8208.125,above_upper_bound
RQ02,vlang/v,merged_pull_requests,13775.0,-4644.875,8208.125,above_upper_bound
RQ02,servo/servo,merged_pull_requests,25689.0,-4644.875,8208.125,above_upper_bound
RQ02,PostHog/posthog,merged_pull_requests,53949.0,-4644.875,8208.125,above_upper_bound
RQ02,directus/directus,merged_pull_requests,9172.0,-4644.875,8208.125,above_upper_bound
RQ02,eugenp/tutorials,merged_pull_requests,13828.0,-4644.875,8208.125,above_upper_bound
RQ02,nextcloud/server,merged_pull_requests,34088.0,-4644.875,8208.125,above_upper_bound
RQ02,keycloak/keycloak,merged_pull_requests,20970.0,-4644.875,8208.125,above_upper_bound
RQ02,jax-ml/jax,merged_pull_requests,20660.0,-4644.875,8208.125,above_upper_bound
RQ02,hashicorp/vault,merged_pull_requests,21334.0,-4644.875,8208.125,above_upper_bound
RQ02,medusajs/medusa,merged_pull_requests,9294.0,-4644.875,8208.125,above_upper_bound
RQ02,tailscale/tailscale,merged_pull_requests,8697.0,-4644.875,8208.125,above_upper_bound
RQ02,laravel/framework,merged_pull_requests,18470.0,-4644.875,8208.125,above_upper_bound
RQ02,backstage/backstage,merged_pull_requests,21578.0,-4644.875,8208.125,above_upper_bound
RQ02,SerenityOS/serenity,merged_pull_requests,20142.0,-4644.875,8208.125,above_upper_bound
RQ02,apache/kafka,merged_pull_requests,13842.0,-4644.875,8208.125,above_upper_bound
RQ02,tinygrad/tinygrad,merged_pull_requests,12308.0,-4644.875,8208.125,above_upper_bound
